"","Status_Checking_Acc","Duration_in_Months","Credit_History","Savings_Acc","Purposre_Credit_Taken","Age","Property","Default_On_Payment","Duration_Monthwise","Duration_Dummy","Account_Status","Cedit_History_Dummy","Purpose_for_Credit","Savings_Acc_Dummy","Property_Dummy","Default_On_Payment1","predicted","deciles"
"26","A14","12","A34","A65","A43",38,"A121",0,"lessthan20",1,4,4,3,4,1,"0",0.0240953361896996,10
"27","A13","10","A34","A65","A43",27,"A122",0,"lessthan20",1,3,4,3,4,2,"0",0.0618777013606063,10
"28","A12","8","A32","A61","A49",26,"A121",0,"lessthan20",1,2,2,9,0,1,"0",0.300410478006185,5
"29","A12","21","A34","A61","A49",27,"A122",0,"20to40",2,2,4,9,0,2,"0",0.293989966254174,5
"30","A14","18","A32","A61","A42",47,"A124",0,"lessthan20",1,4,2,2,0,4,"0",0.193459261347845,6
"31","A12","18","A32","A61","A41",38,"A124",1,"lessthan20",1,2,2,1,0,4,"1",0.463714005211242,3
"32","A14","12","A34","A61","A42",22,"A122",0,"lessthan20",1,4,4,2,0,2,"0",0.0879517152641342,9
"33","A11","6","A32","A65","A40",75,"A122",0,"lessthan20",1,1,2,0,4,2,"0",0.189485668481565,6
"34","A12","24","A34","A65","A49",34,"A124",0,"20to40",2,2,4,9,4,4,"0",0.209289258730089,6
"35","A11","12","A32","A61","A42",38,"A122",0,"lessthan20",1,1,2,2,0,2,"0",0.475272110321846,3
"36","A11","9","A32","A61","A40",27,"A124",1,"lessthan20",1,1,2,0,0,4,"1",0.643003210007816,1
"37","A14","36","A32","A65","A43",25,"A123",0,"20to40",2,4,2,3,4,3,"0",0.138673083558862,8
"38","A11","21","A33","A61","A46",26,"A122",1,"20to40",2,1,3,6,0,2,"1",0.527131395986079,2
"39","A11","9","A34","A61","A40",36,"A121",0,"lessthan20",1,1,4,0,0,1,"0",0.261247857533339,5
"40","A14","21","A33","A62","A42",34,"A121",0,"20to40",2,4,3,2,1,1,"0",0.103221396370451,9
"41","A14","24","A32","A62","A43",26,"A122",0,"20to40",2,4,2,3,1,2,"0",0.191395685554325,6
"42","A14","30","A34","A61","A43",26,"A123",0,"20to40",2,4,4,3,0,3,"0",0.155591545656755,7
"43","A11","24","A34","A61","A41",75,"A124",0,"20to40",2,1,4,1,0,4,"0",0.414747762293905,4
"44","A12","9","A32","A61","A42",30,"A122",1,"lessthan20",1,2,2,2,0,2,"1",0.361991087328441,4
"45","A12","18","A32","A65","A46",61,"A124",0,"lessthan20",1,2,2,6,4,4,"0",0.200275097463868,6
"46","A12","24","A33","A65","A42",29,"A122",0,"20to40",2,2,3,2,4,2,"0",0.207057038686236,6
"47","A12","9","A34","A61","A42",35,"A123",0,"lessthan20",1,2,4,2,0,3,"0",0.249027611532669,6
"48","A14","6","A32","A63","A44",62,"A121",0,"lessthan20",1,4,2,4,2,1,"0",0.0538138389169402,10
"49","A14","48","A32","A61","A49",33,"A123",1,"morethan40",3,4,2,9,0,3,"1",0.339230503365154,4
"50","A12","12","A32","A61","A40",32,"A123",0,"lessthan20",1,2,2,0,0,3,"0",0.422265968644111,3
"51","A14","21","A34","A61","A42",23,"A122",0,"20to40",2,4,4,2,0,2,"0",0.130126223562059,8
"52","A12","48","A32","A65","A43",41,"A123",0,"morethan40",3,2,2,3,4,3,"0",0.392132233269,4
"53","A12","12","A32","A64","A40",54,"A121",0,"lessthan20",1,2,2,0,3,1,"0",0.143553732019126,7
"54","A12","30","A32","A61","A42",22,"A122",0,"20to40",2,2,2,2,0,2,"0",0.498354155100745,3
"55","A14","24","A33","A63","A49",44,"A123",0,"20to40",2,4,3,9,2,3,"0",0.111997424014188,8
"56","A12","48","A32","A61","A49",23,"A123",1,"morethan40",3,2,2,9,0,3,"1",0.649891825104751,1
"57","A14","21","A33","A62","A42",34,"A121",0,"20to40",2,4,3,2,1,1,"0",0.103221396370451,9
"58","A14","24","A32","A61","A49",25,"A121",0,"20to40",2,4,2,9,0,1,"0",0.177975954484596,7
"59","A13","30","A34","A61","A43",47,"A122",0,"20to40",2,3,4,3,0,2,"0",0.160054513195897,7
"60","A14","36","A32","A65","A43",45,"A121",0,"20to40",2,4,2,3,4,1,"0",0.0682459032592432,10
"61","A12","48","A30","A62","A49",34,"A124",1,"morethan40",3,2,0,9,1,4,"1",0.775479855423863,1
"62","A11","48","A32","A61","A43",31,"A123",1,"morethan40",3,1,2,3,0,3,"1",0.759332298466383,1
"63","A14","9","A34","A61","A42",31,"A123",0,"lessthan20",1,4,4,2,0,3,"0",0.0996844359125184,9
"64","A11","18","A32","A65","A43",23,"A123",0,"lessthan20",1,1,2,3,4,3,"0",0.371487314823119,4
"65","A11","18","A32","A65","A41",51,"A122",1,"lessthan20",1,1,2,1,4,2,"1",0.242153560335258,6
"66","A12","15","A32","A65","A43",23,"A122",0,"lessthan20",1,2,2,3,4,2,"0",0.204163628212852,6
"67","A14","15","A32","A62","A41",23,"A123",0,"lessthan20",1,4,2,1,1,3,"0",0.171795193706592,7
"68","A12","18","A30","A62","A40",28,"A123",1,"lessthan20",1,2,0,0,1,3,"1",0.562183981555662,2
"69","A12","48","A30","A63","A40",30,"A123",0,"morethan40",3,2,0,0,2,3,"0",0.712752007466164,1
"70","A11","12","A31","A61","A43",24,"A121",1,"lessthan20",1,1,1,3,0,1,"1",0.545916621993717,2
"71","A14","18","A32","A61","A42",43,"A122",1,"lessthan20",1,4,2,2,0,2,"1",0.130972870403619,8
"72","A12","24","A32","A62","A43",22,"A123",1,"20to40",2,2,2,3,1,3,"1",0.505713227957395,3
"73","A12","12","A32","A61","A43",22,"A123",1,"lessthan20",1,2,2,3,0,3,"1",0.447618973134124,3
"74","A14","21","A32","A61","A42",50,"A121",0,"20to40",2,4,2,2,0,1,"0",0.142668117288004,7
"75","A14","12","A34","A62","A40",51,"A123",0,"lessthan20",1,4,4,0,1,3,"0",0.0648712724618515,10
"76","A13","42","A30","A61","A49",33,"A122",0,"morethan40",3,3,0,9,0,2,"0",0.593499219189375,2
"77","A12","8","A32","A61","A43",44,"A121",0,"lessthan20",1,2,2,3,0,1,"0",0.264093339994666,5
"78","A14","12","A34","A61","A42",42,"A122",0,"lessthan20",1,4,4,2,0,2,"0",0.0686260754922966,9
"79","A12","10","A31","A61","A43",23,"A121",0,"lessthan20",1,2,1,3,0,1,"0",0.406673526564026,4
"80","A14","12","A34","A61","A46",57,"A124",0,"lessthan20",1,4,4,6,0,4,"0",0.0884185174624241,9
"81","A12","24","A32","A62","A43",22,"A123",1,"20to40",2,2,2,3,1,3,"1",0.505713227957395,3
"82","A12","7","A32","A61","A43",35,"A121",0,"lessthan20",1,2,2,3,0,1,"0",0.288288031306379,5
"83","A11","30","A34","A61","A41",38,"A124",0,"20to40",2,1,4,1,0,4,"0",0.538282856040006,2
"84","A11","12","A30","A61","A40",48,"A123",1,"lessthan20",1,1,0,0,0,3,"1",0.684749836143718,1
"85","A11","12","A34","A61","A40",43,"A122",1,"lessthan20",1,1,4,0,0,2,"1",0.294336390739651,5
"86","A11","12","A31","A61","A48",45,"A123",0,"lessthan20",1,1,1,8,0,3,"0",0.590950502110984,2
"87","A11","12","A30","A61","A40",48,"A123",1,"lessthan20",1,1,0,0,0,3,"1",0.684749836143718,1
"88","A11","24","A32","A61","A42",39,"A122",1,"20to40",2,1,2,2,0,2,"1",0.584207393811203,2
"89","A14","15","A33","A61","A41",46,"A122",0,"lessthan20",1,4,3,1,0,2,"0",0.0922201921219738,9
"90","A12","9","A32","A61","A40",22,"A121",0,"lessthan20",1,2,2,0,0,1,"0",0.332377853617956,4
"91","A11","6","A34","A65","A40",44,"A121",0,"lessthan20",1,1,4,0,4,1,"0",0.116645057035794,8
"92","A11","9","A32","A61","A40",27,"A124",1,"lessthan20",1,1,2,0,0,4,"1",0.643003210007816,1
"93","A14","30","A34","A65","A43",36,"A122",0,"20to40",2,4,4,3,4,2,"0",0.0491412995693841,10
"94","A11","30","A32","A61","A42",23,"A121",1,"20to40",2,1,2,2,0,1,"1",0.573483820756301,2
"95","A11","60","A32","A61","A49",36,"A124",1,"morethan40",3,1,2,9,0,4,"1",0.782158545400765,1
"96","A14","12","A32","A61","A42",24,"A121",0,"lessthan20",1,4,2,2,0,1,"0",0.130560540628679,8
"97","A12","6","A32","A61","A45",22,"A122",0,"lessthan20",1,2,2,5,0,2,"0",0.379785570715878,4
"98","A12","30","A33","A62","A43",30,"A124",1,"20to40",2,2,3,3,1,4,"1",0.452629526466081,3
"99","A11","24","A31","A61","A42",27,"A123",1,"20to40",2,1,1,2,0,3,"1",0.754971459717443,1
"100","A14","18","A33","A61","A43",34,"A121",0,"lessthan20",1,4,3,3,0,1,"0",0.082751558928689,9
"101","A11","24","A31","A61","A41",22,"A123",0,"20to40",2,1,1,1,0,3,"0",0.769063208719362,1
"102","A11","18","A34","A61","A42",24,"A121",1,"lessthan20",1,1,4,2,0,1,"1",0.289266532678962,5
"103","A14","9","A32","A61","A44",23,"A121",0,"lessthan20",1,4,2,4,0,1,"0",0.12971696622765,8
"104","A14","36","A32","A63","A40",36,"A122",0,"20to40",2,4,2,0,2,2,"0",0.146350581923044,7
"105","A14","27","A33","A64","A41",27,"A123",0,"20to40",2,4,3,1,3,3,"0",0.121583460965805,8
"106","A14","24","A32","A62","A40",33,"A121",0,"20to40",2,4,2,0,1,1,"0",0.146409577691089,7
"107","A11","24","A34","A61","A41",75,"A124",0,"20to40",2,1,4,1,0,4,"0",0.414747762293905,4
"108","A14","36","A32","A61","A43",28,"A123",0,"20to40",2,4,2,3,0,3,"0",0.271059828593029,5
"109","A12","18","A34","A61","A40",30,"A121",1,"lessthan20",1,2,4,0,0,1,"1",0.177388536974535,7
"110","A11","12","A32","A61","A43",40,"A121",0,"lessthan20",1,1,2,3,0,1,"0",0.402367452601829,4
"111","A12","6","A33","A62","A49",31,"A123",0,"lessthan20",1,2,3,9,1,3,"0",0.273289420691302,5
"112","A13","30","A34","A65","A43",49,"A122",0,"20to40",2,3,4,3,4,2,"0",0.0716113983115925,9
"113","A13","24","A32","A63","A43",57,"A123",0,"20to40",2,3,2,3,2,3,"0",0.223952133940385,6
"114","A12","18","A32","A65","A46",61,"A124",0,"lessthan20",1,2,2,6,4,4,"0",0.200275097463868,6
"115","A12","48","A31","A61","A49",59,"A124",1,"morethan40",3,2,1,9,0,4,"1",0.680919271859996,1
"116","A12","18","A30","A62","A40",28,"A123",1,"lessthan20",1,2,0,0,1,3,"1",0.562183981555662,2
"117","A11","24","A32","A65","A41",26,"A121",0,"20to40",2,1,2,1,4,1,"0",0.351763776232765,4
"118","A11","9","A32","A61","A40",28,"A123",1,"lessthan20",1,1,2,0,0,3,"1",0.578278901375262,2
"119","A12","6","A32","A61","A43",64,"A121",0,"lessthan20",1,2,2,3,0,1,"0",0.215196130357763,6
"120","A14","21","A30","A65","A40",29,"A122",1,"20to40",2,4,0,0,4,2,"1",0.201167916819851,6
"121","A14","9","A32","A62","A42",22,"A122",0,"lessthan20",1,4,2,2,1,2,"0",0.138332055114573,8
"122","A14","30","A34","A65","A43",36,"A122",0,"20to40",2,4,4,3,4,2,"0",0.0491412995693841,10
"123","A12","39","A33","A62","A46",32,"A124",0,"20to40",2,2,3,6,1,4,"0",0.438237209217703,3
"124","A12","30","A32","A65","A43",26,"A123",0,"20to40",2,2,2,3,4,3,"0",0.334241831646874,4
"125","A12","12","A34","A63","A40",36,"A123",0,"lessthan20",1,2,4,0,2,3,"0",0.177250786744289,7
"126","A12","15","A32","A61","A43",37,"A123",1,"lessthan20",1,2,2,3,0,3,"1",0.398406725151651,4
"127","A14","10","A34","A65","A42",26,"A123",0,"lessthan20",1,4,4,2,4,3,"0",0.0469345174083093,10
"128","A14","36","A32","A61","A46",37,"A124",1,"20to40",2,4,2,6,0,4,"1",0.29267198542731,5
"129","A14","9","A32","A62","A40",26,"A121",0,"lessthan20",1,4,2,0,1,1,"0",0.107036076491413,8
"130","A11","8","A34","A61","A410",51,"A124",0,"lessthan20",1,1,4,10,0,4,"0",0.361683263702323,4
"131","A11","10","A34","A65","A42",27,"A121",0,"lessthan20",1,1,4,2,4,1,"0",0.139821087555943,8
"132","A14","12","A34","A61","A46",49,"A121",0,"lessthan20",1,4,4,6,0,1,"0",0.0472798837868118,10
"133","A12","36","A32","A61","A40",57,"A124",1,"20to40",2,2,2,0,0,4,"1",0.515480111961706,2
"134","A11","36","A32","A61","A40",39,"A124",0,"20to40",2,1,2,0,0,4,"0",0.706716293561129,1
"135","A14","24","A32","A61","A48",27,"A123",0,"20to40",2,4,2,8,0,3,"0",0.263459777740532,5
"136","A11","18","A32","A61","A42",25,"A123",1,"lessthan20",1,1,2,2,0,3,"1",0.583016418693339,2
"137","A11","18","A32","A61","A43",24,"A121",1,"lessthan20",1,1,2,3,0,1,"1",0.455035871083448,3
"138","A11","12","A32","A65","A46",23,"A122",0,"lessthan20",1,1,2,6,4,2,"0",0.30651619570004,5
"139","A14","15","A34","A63","A43",47,"A122",0,"lessthan20",1,4,4,3,2,2,"0",0.04211011839683,10
"140","A14","18","A32","A61","A42",43,"A121",0,"lessthan20",1,4,2,2,0,1,"0",0.10417799506153,8
"141","A14","9","A32","A62","A42",22,"A122",0,"lessthan20",1,4,2,2,1,2,"0",0.138332055114573,8
"142","A13","24","A32","A61","A42",51,"A124",0,"20to40",2,3,2,2,0,4,"0",0.388501727544928,4
"143","A11","18","A34","A61","A45",55,"A124",1,"lessthan20",1,1,4,5,0,4,"1",0.361325159341418,4
"144","A12","9","A32","A61","A43",24,"A121",0,"lessthan20",1,2,2,3,0,1,"0",0.319576789535467,4
"145","A14","24","A34","A65","A41",46,"A122",0,"20to40",2,4,4,1,4,2,"0",0.0440954599369212,10
"146","A11","36","A33","A61","A46",29,"A122",1,"20to40",2,1,3,6,0,2,"1",0.517060822402492,2
"147","A11","24","A31","A63","A42",22,"A121",0,"20to40",2,1,1,2,2,1,"0",0.558562504950945,2
"148","A14","24","A32","A65","A41",26,"A122",0,"20to40",2,4,2,1,4,2,"0",0.111237782412704,8
"149","A12","39","A34","A61","A43",25,"A121",1,"20to40",2,2,4,3,0,1,"1",0.260048998232969,5
"150","A11","18","A32","A61","A42",22,"A123",1,"lessthan20",1,1,2,2,0,3,"1",0.592794782993609,2
"151","A14","24","A32","A61","A40",62,"A124",0,"20to40",2,4,2,0,0,4,"0",0.239380679386605,6
"152","A11","24","A32","A61","A42",22,"A124",0,"20to40",2,1,2,2,0,4,"0",0.747873633028797,1
"153","A14","12","A32","A61","A42",50,"A121",0,"lessthan20",1,4,2,2,0,1,"0",0.0957106363203133,9
"154","A12","24","A32","A61","A42",43,"A123",1,"20to40",2,2,2,2,0,3,"1",0.492534504877363,3
"155","A11","48","A32","A61","A40",42,"A124",1,"morethan40",3,1,2,0,0,4,"1",0.784425039668636,1
"156","A12","18","A32","A61","A41",21,"A123",0,"lessthan20",1,2,2,1,0,3,"0",0.456129238371315,3
"157","A12","11","A32","A64","A42",20,"A121",0,"lessthan20",1,2,2,2,3,1,"0",0.205944499754414,6
"158","A14","21","A33","A62","A42",34,"A121",0,"20to40",2,4,3,2,1,1,"0",0.103221396370451,9
"159","A12","24","A32","A62","A43",29,"A123",0,"20to40",2,2,2,3,1,3,"0",0.482176243133192,3
"160","A11","9","A34","A61","A43",25,"A121",0,"lessthan20",1,1,4,3,0,1,"0",0.284376286598811,5
"161","A11","12","A32","A61","A42",21,"A122",0,"lessthan20",1,1,2,2,0,2,"0",0.53238671404681,2
"162","A14","24","A32","A63","A43",26,"A123",0,"20to40",2,4,2,3,2,3,"0",0.197645357949187,6
"163","A14","27","A33","A64","A41",27,"A123",0,"20to40",2,4,3,1,3,3,"0",0.121583460965805,8
"164","A12","9","A34","A64","A46",32,"A124",1,"lessthan20",1,2,4,6,3,4,"1",0.181815255825138,7
"165","A11","12","A32","A61","A48",21,"A122",1,"lessthan20",1,1,2,8,0,2,"1",0.516746293589595,2
"166","A14","18","A32","A65","A41",31,"A122",0,"lessthan20",1,4,2,1,4,2,"0",0.0692707037337812,9
"167","A14","12","A34","A61","A42",22,"A122",0,"lessthan20",1,4,4,2,0,2,"0",0.0879517152641342,9
"168","A14","27","A32","A65","A45",48,"A122",0,"20to40",2,4,2,5,4,2,"0",0.0819634765758628,9
"169","A14","12","A34","A61","A43",35,"A122",0,"lessthan20",1,4,4,3,0,2,"0",0.0741747196616847,9
"170","A12","16","A34","A61","A40",68,"A123",0,"lessthan20",1,2,4,0,0,3,"0",0.178449688879171,7
"171","A13","10","A32","A61","A44",37,"A123",0,"lessthan20",1,3,2,4,0,3,"0",0.269347639504506,5
"172","A12","11","A33","A61","A43",51,"A122",0,"lessthan20",1,2,3,3,0,2,"0",0.227188987585374,6
"173","A14","60","A32","A65","A40",34,"A124",0,"morethan40",3,4,2,0,4,4,"0",0.230709266871528,6
"174","A14","6","A32","A65","A48",36,"A122",0,"lessthan20",1,4,2,8,4,2,"0",0.0607457826725428,10
"175","A12","48","A32","A64","A43",27,"A124",1,"morethan40",3,2,2,3,3,4,"1",0.556908102788365,2
"176","A12","60","A32","A61","A46",42,"A124",1,"morethan40",3,2,2,6,0,4,"1",0.657810092316322,1
"177","A12","12","A32","A61","A40",25,"A123",1,"lessthan20",1,2,2,0,0,3,"1",0.445393898196233,3
"178","A14","12","A34","A61","A43",63,"A121",0,"lessthan20",1,4,4,3,0,1,"0",0.0406898621545058,10
"179","A11","6","A34","A64","A40",39,"A121",0,"lessthan20",1,1,4,0,3,1,"0",0.149572959854461,7
"180","A12","30","A32","A61","A42",22,"A122",0,"20to40",2,2,2,2,0,2,"0",0.498354155100745,3
"181","A12","48","A33","A62","A410",31,"A124",0,"morethan40",3,2,3,10,1,4,"0",0.543846730682866,2
"182","A14","18","A34","A61","A43",24,"A123",0,"lessthan20",1,4,4,3,0,3,"0",0.107454531841158,8
"183","A14","21","A33","A63","A49",41,"A121",1,"20to40",2,4,3,9,2,1,"1",0.0725172573633465,9
"184","A14","6","A32","A61","A46",56,"A124",0,"lessthan20",1,4,2,6,0,4,"0",0.16930131091697,7
"185","A11","36","A33","A61","A49",24,"A123",1,"20to40",2,1,3,9,0,3,"1",0.589872461522556,2
"186","A14","12","A32","A61","A43",38,"A123",0,"lessthan20",1,4,2,3,0,3,"0",0.17131875614664,7
"187","A12","24","A33","A61","A43",33,"A123",0,"20to40",2,2,3,3,0,3,"0",0.432832284711367,3
"188","A14","12","A34","A62","A40",51,"A123",0,"lessthan20",1,4,4,0,1,3,"0",0.0648712724618515,10
"189","A13","6","A32","A64","A40",27,"A121",0,"lessthan20",1,3,2,0,3,1,"0",0.119392735886241,8
"190","A14","24","A32","A62","A41",23,"A123",0,"20to40",2,4,2,1,1,3,"0",0.245929398256993,6
"191","A12","36","A33","A61","A49",30,"A121",1,"20to40",2,2,3,9,0,1,"1",0.307640415109515,5
"192","A11","6","A32","A62","A40",43,"A122",0,"lessthan20",1,1,2,0,1,2,"0",0.409816651173721,4
"193","A13","6","A34","A61","A46",50,"A122",0,"lessthan20",1,3,4,6,0,2,"0",0.101373106836237,9
"194","A11","12","A32","A62","A44",22,"A122",1,"lessthan20",1,1,2,4,1,2,"1",0.469040138420368,3
"195","A14","12","A32","A65","A40",45,"A122",0,"lessthan20",1,4,2,0,4,2,"0",0.0586431417390413,10
"196","A12","60","A33","A65","A43",27,"A121",0,"morethan40",3,2,3,3,4,1,"0",0.243600067728848,6
"197","A14","18","A34","A61","A40",32,"A122",1,"lessthan20",1,4,4,0,0,2,"1",0.079252963750356,9
"198","A12","60","A32","A62","A40",24,"A122",1,"morethan40",3,2,2,0,1,2,"1",0.5549185300897,2
"199","A11","18","A34","A61","A40",36,"A124",0,"lessthan20",1,1,4,0,0,4,"0",0.434940240916824,3
"200","A12","36","A32","A62","A46",47,"A124",1,"20to40",2,2,2,6,1,4,"1",0.478612389731214,3
"201","A12","36","A33","A62","A40",42,"A123",1,"20to40",2,2,3,0,1,3,"1",0.359070799684633,4
"202","A12","24","A32","A62","A42",30,"A124",0,"20to40",2,2,2,2,1,4,"0",0.546101264037397,2
"203","A12","30","A30","A62","A49",26,"A123",1,"20to40",2,2,0,9,1,3,"1",0.65370774309524,1
"204","A11","24","A31","A62","A40",32,"A123",0,"20to40",2,1,1,0,1,3,"0",0.702571682589332,1
"205","A12","12","A34","A62","A41",44,"A122",0,"lessthan20",1,2,4,1,1,2,"0",0.155373510437897,7
"206","A14","6","A32","A61","A46",56,"A124",0,"lessthan20",1,4,2,6,0,4,"0",0.16930131091697,7
"207","A12","24","A34","A61","A46",24,"A124",0,"20to40",2,2,4,6,0,4,"0",0.429020440798741,3
"208","A12","15","A32","A62","A45",22,"A121",0,"lessthan20",1,2,2,5,1,1,"0",0.275063624755992,5
"209","A14","12","A34","A61","A43",63,"A121",0,"lessthan20",1,4,4,3,0,1,"0",0.0406898621545058,10
"210","A14","15","A32","A65","A42",33,"A121",0,"lessthan20",1,4,2,2,4,1,"0",0.0524229171521853,10
"211","A14","15","A32","A65","A40",29,"A124",0,"lessthan20",1,4,2,0,4,4,"0",0.114855948516332,8
"212","A14","24","A33","A65","A49",32,"A121",0,"20to40",2,4,3,9,4,1,"0",0.0538451058714525,10
"213","A11","30","A30","A65","A49",25,"A123",0,"20to40",2,1,0,9,4,3,"0",0.637864205371788,1
"214","A11","6","A32","A63","A41",23,"A122",0,"lessthan20",1,1,2,1,2,2,"0",0.419345819557454,3
"215","A14","18","A32","A61","A43",33,"A121",0,"lessthan20",1,4,2,3,0,1,"0",0.116340332466062,8
"216","A11","6","A32","A65","A40",75,"A122",0,"lessthan20",1,1,2,0,4,2,"0",0.189485668481565,6
"217","A14","36","A33","A61","A43",26,"A123",1,"20to40",2,4,3,3,0,3,"1",0.20967709347444,6
"218","A14","15","A34","A61","A43",46,"A123",0,"lessthan20",1,4,4,3,0,3,"0",0.082186640553845,9
"219","A14","10","A32","A65","A40",45,"A122",0,"lessthan20",1,4,2,0,4,2,"0",0.0586431417390413,10
"220","A12","36","A32","A62","A43",50,"A124",1,"20to40",2,2,2,3,1,4,"1",0.476366113338536,3
"221","A12","21","A33","A61","A40",47,"A122",0,"20to40",2,2,3,0,0,2,"0",0.334798622513539,4
"222","A12","24","A34","A61","A43",48,"A122",0,"20to40",2,2,4,3,0,2,"0",0.25050833016847,5
"223","A11","12","A30","A61","A40",48,"A123",1,"lessthan20",1,1,0,0,0,3,"1",0.684749836143718,1
"224","A14","36","A34","A61","A43",31,"A123",0,"20to40",2,4,4,3,0,3,"0",0.146956630426083,7
"225","A12","15","A32","A62","A45",25,"A121",0,"lessthan20",1,2,2,5,1,1,"0",0.267088683837234,5
"226","A12","6","A31","A64","A46",24,"A122",1,"lessthan20",1,2,1,6,3,2,"1",0.305468754213536,5
"227","A12","6","A33","A61","A40",47,"A122",1,"lessthan20",1,2,3,0,0,2,"1",0.242489951344874,6
"228","A14","12","A32","A61","A49",36,"A123",0,"lessthan20",1,4,2,9,0,3,"0",0.16629454255791,7
"229","A14","12","A32","A61","A42",31,"A121",0,"lessthan20",1,4,2,2,0,1,"0",0.120236675184624,8
"230","A14","9","A32","A65","A46",64,"A121",0,"lessthan20",1,4,2,6,4,1,"0",0.0337821839568201,10
"231","A12","36","A32","A65","A40",37,"A124",1,"20to40",2,2,2,0,4,4,"1",0.366690346914328,4
"232","A14","11","A34","A62","A43",57,"A121",0,"lessthan20",1,4,4,3,1,1,"0",0.0356097426029231,10
"233","A12","48","A32","A65","A43",41,"A123",0,"morethan40",3,2,2,3,4,3,"0",0.392132233269,4
"234","A12","12","A34","A62","A40",27,"A123",0,"lessthan20",1,2,4,0,1,3,"0",0.232431526415188,6
"235","A12","18","A32","A65","A42",27,"A121",1,"lessthan20",1,2,2,2,4,1,"1",0.159347352988312,7
"236","A12","15","A32","A65","A43",23,"A122",0,"lessthan20",1,2,2,3,4,2,"0",0.204163628212852,6
"237","A14","12","A34","A65","A43",38,"A121",0,"lessthan20",1,4,4,3,4,1,"0",0.0240953361896996,10
"238","A14","12","A34","A65","A43",38,"A121",0,"lessthan20",1,4,4,3,4,1,"0",0.0240953361896996,10
"239","A12","48","A30","A61","A49",25,"A123",1,"morethan40",3,2,0,9,0,3,"1",0.789300424258314,1
"240","A14","18","A32","A61","A43",22,"A121",1,"lessthan20",1,4,2,3,0,1,"1",0.132439836519317,8
"241","A12","24","A33","A65","A49",37,"A122",0,"20to40",2,2,3,9,4,2,"0",0.178937654169411,7
"242","A11","6","A34","A61","A40",37,"A121",0,"lessthan20",1,1,4,0,0,1,"0",0.258659591537774,5
"243","A13","30","A34","A61","A43",47,"A122",0,"20to40",2,3,4,3,0,2,"0",0.160054513195897,7
